ProteinAccession,TaxonomyID,SpeciesName,GenomeAccession,Lineage,Genus,URL,Genus2
ADD22705,717641,Chicken parvovirus ABU-P1,GU214704.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Aveparvovirus;Galliform aveparvovirus 1,Galliform aveparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/GU214704.1,Aveparvovirus
AEX38011,1131483,Eidolon helvum (bat) parvovirus,JQ037753.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Chiropteran tetraparvovirus 1,Chiropteran tetraparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/JQ037753.1,Tetraparvovirus
AAA74973,31598,Simian parvovirus,U26342.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 2,Primate erythroparvovirus 2,http://www.ncbi.nlm.nih.gov/nuccore/U26342.1,Erythroparvovirus
AAF61212,119756,Rhesus macaque parvovirus,AF221122.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 3,Primate erythroparvovirus 3,http://www.ncbi.nlm.nih.gov/nuccore/AF221122.1,Erythroparvovirus
ADF32027,754189,Parvovirus YX-2010/CHN,GU938300.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 3;Porcine Cnvirus,Ungulate tetraparvovirus 3,http://www.ncbi.nlm.nih.gov/nuccore/GU938300.1,Tetraparvovirus
AAF61213,119755,Pig-tailed macaque parvovirus,AF221123.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 4,Primate erythroparvovirus 4,http://www.ncbi.nlm.nih.gov/nuccore/AF221123.1,Erythroparvovirus
AAC40694,74581,Rat parvovirus 1,AF036710.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 2,Rodent protoparvovirus 2,http://www.ncbi.nlm.nih.gov/nuccore/AF036710.1,Protoparvovirus
AAL91012,10798,Human parvovirus B19,AY083234.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 1,Primate erythroparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/AY083234.1,Erythroparvovirus
AAL55416,182494,Human parvovirus B19 - A6,AY064475.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 1;Human parvovirus B19,Primate erythroparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/AY064475.1,Erythroparvovirus
AAA66866,10798,Human parvovirus B19,M13178.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 1,Primate erythroparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/M13178.1,Erythroparvovirus
AAL55416,182494,Human parvovirus B19 - A6,AY064475.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 1;Human parvovirus B19,Primate erythroparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/AY064475.1,Erythroparvovirus
AAA66866,10798,Human parvovirus B19,M13178.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 1,Primate erythroparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/M13178.1,Erythroparvovirus
AAL91012,10798,Human parvovirus B19,AY083234.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 1,Primate erythroparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/AY083234.1,Erythroparvovirus
YP_004678720,1045778,Helicoverpa armigera densovirus,NC_015718.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;Lepidopteran iteradensovirus 5,Lepidopteran iteradensovirus 5,http://www.ncbi.nlm.nih.gov/nuccore/NC_015718.1,Iteradensovirus
